donor_id	DRG_ID	module_id	program	S_delta	U_delta	D_delta
sub-UTD-180714DHB	sam-UTD-180714DHB-DRGL4	late_allcell_residual	P8	0.034108219123748534	0.013358883455412779	-0.020749335668335867
sub-UTD-180714DHB	sam-UTD-180714DHB-DRGL4	late_neuron_residual	P7	-0.009521468916657205	-0.003948346283706716	0.005573122632950567
sub-UTD-180714DHB	sam-UTD-180714DHB-DRGL4	late_shared_concordant_neuronal_core	P6	0.010924154579405782	0.007480401444712043	-0.0034437531346938055
sub-UTD-180714DHB	sam-UTD-180714DHB-DRGL4	original_early_allcell	P1	0.005478593856368605	0.004871261882096634	-0.0006073319742719296
sub-UTD-180714DHB	sam-UTD-180714DHB-DRGL4	original_late_allcell	P2	0.0329244169555071	0.012928531179143471	-0.01999588577636363
sub-UTD-180714DHB	sam-UTD-180714DHB-DRGL4	original_late_neuron	P3	-0.0028289603891991704	0.0003056774645059379	0.0031346378537051023
sub-UTD-180714DHB	sam-UTD-180714DHB-DRGL4	original_severity	P4	0.03335638925934829	-0.019976489685079424	-0.05333287894442773
sub-UTD-180714DHB	sam-UTD-180714DHB-DRGL4	original_xenium	P5	-0.05623904829996516	-0.04049477631012183	0.01574427198984335
sub-UTD-180714DHB	sam-UTD-180714DHB-DRGL4	severity_neuron_residual	P10	0.04013513130636488	-0.01953853565870045	-0.05967366696506543
sub-UTD-181030DHB	sam-UTD-181030DHB-1L4	late_allcell_residual	P8	0.05158739222280827	0.019721932096071593	-0.03186546012673669
sub-UTD-181030DHB	sam-UTD-181030DHB-1L4	late_neuron_residual	P7	-0.019473337647995734	0.0004592012391615441	0.019932538887157236
sub-UTD-181030DHB	sam-UTD-181030DHB-1L4	late_shared_concordant_neuronal_core	P6	0.047699434122890245	0.02595744991451443	-0.021741984208375753
sub-UTD-181030DHB	sam-UTD-181030DHB-1L4	original_early_allcell	P1	0.003566162296239076	0.00658379216759486	0.003017629871355787
sub-UTD-181030DHB	sam-UTD-181030DHB-1L4	original_late_allcell	P2	0.051430174195569854	0.019796081807655574	-0.03163409238791426
sub-UTD-181030DHB	sam-UTD-181030DHB-1L4	original_late_neuron	P3	-0.0001389224488047439	0.009425123464769813	0.00956404591357457
sub-UTD-181030DHB	sam-UTD-181030DHB-1L4	original_severity	P4	0.03185878639292874	-0.042565602536837166	-0.07442438892976594
sub-UTD-181030DHB	sam-UTD-181030DHB-1L4	original_xenium	P5	-0.07796876255707547	-0.05919070765907469	0.01877805489800083
sub-UTD-181030DHB	sam-UTD-181030DHB-1L4	severity_neuron_residual	P10	0.035393809458978895	-0.046648124980332495	-0.0820419344393114
sub-UTD-181030DHB	sam-UTD-181030DHB-2L4	late_allcell_residual	P8	0.04996405644151662	0.020942815805775755	-0.029021240635740797
sub-UTD-181030DHB	sam-UTD-181030DHB-2L4	late_neuron_residual	P7	-0.019966542575420725	-0.003940860581324979	0.01602568199409571
sub-UTD-181030DHB	sam-UTD-181030DHB-2L4	late_shared_concordant_neuronal_core	P6	0.03663843758983695	0.022516692866505122	-0.014121744723331775
sub-UTD-181030DHB	sam-UTD-181030DHB-2L4	original_early_allcell	P1	0.004748994173981617	0.011844017489252179	0.00709502331527051
sub-UTD-181030DHB	sam-UTD-181030DHB-2L4	original_late_allcell	P2	0.04937856808101222	0.02100664035181815	-0.028371927729194057
sub-UTD-181030DHB	sam-UTD-181030DHB-2L4	original_late_neuron	P3	-0.0031642156021253086	0.005982201401029397	0.009146417003154717
